2018-08-27 12:00:57.085199: I tensorflow/core/platform/cpu_feature_guard.cc:140] Your CPU supports instructions that this TensorFlow binary was not compiled to use: FMA
Game start!
episode: 0/10000, score: -8.0, e: 1.0
episode: 1/10000, score: -11.0, e: 1.0
episode: 2/10000, score: -7.0, e: 0.99
episode: 3/10000, score: -9.0, e: 0.99
episode: 4/10000, score: -10.0, e: 0.99
episode: 5/10000, score: -7.0, e: 0.99
episode: 6/10000, score: -10.0, e: 0.99
episode: 7/10000, score: 4.0, e: 0.99
episode: 8/10000, score: -5.0, e: 0.98
episode: 9/10000, score: -3.0, e: 0.98
episode: 10/10000, score: -3.0, e: 0.98
episode: 11/10000, score: -10.0, e: 0.98
episode: 12/10000, score: -12.0, e: 0.98
episode: 13/10000, score: -8.0, e: 0.98
episode: 14/10000, score: -9.0, e: 0.98
episode: 15/10000, score: -10.0, e: 0.98
episode: 16/10000, score: -13.0, e: 0.97
episode: 17/10000, score: -9.0, e: 0.97
episode: 18/10000, score: -5.0, e: 0.97
episode: 19/10000, score: -7.0, e: 0.97
episode: 20/10000, score: 0.0, e: 0.97
episode: 21/10000, score: -7.0, e: 0.97
episode: 22/10000, score: -7.0, e: 0.96
episode: 23/10000, score: -11.0, e: 0.96
episode: 24/10000, score: -5.0, e: 0.96
episode: 25/10000, score: -7.0, e: 0.96
episode: 26/10000, score: -9.0, e: 0.96
episode: 27/10000, score: -5.0, e: 0.96
episode: 28/10000, score: -1.0, e: 0.95
episode: 29/10000, score: -7.0, e: 0.95
episode: 30/10000, score: -4.0, e: 0.95
episode: 31/10000, score: -10.0, e: 0.95
episode: 32/10000, score: -6.0, e: 0.95
episode: 33/10000, score: -8.0, e: 0.95
episode: 34/10000, score: -9.0, e: 0.95
episode: 35/10000, score: -4.0, e: 0.95
episode: 36/10000, score: 2.0, e: 0.94
episode: 37/10000, score: -2.0, e: 0.94
episode: 38/10000, score: -8.0, e: 0.94
episode: 39/10000, score: -14.0, e: 0.94
episode: 40/10000, score: -6.0, e: 0.94
episode: 41/10000, score: -6.0, e: 0.94
episode: 42/10000, score: -6.0, e: 0.93
episode: 43/10000, score: -8.0, e: 0.93
episode: 44/10000, score: -4.0, e: 0.93
episode: 45/10000, score: -9.0, e: 0.93
episode: 46/10000, score: -5.0, e: 0.93
episode: 47/10000, score: -9.0, e: 0.93
episode: 48/10000, score: -11.0, e: 0.92
episode: 49/10000, score: -3.0, e: 0.92
episode: 50/10000, score: -9.0, e: 0.92
episode: 51/10000, score: -1.0, e: 0.92
episode: 52/10000, score: -7.0, e: 0.92
episode: 53/10000, score: -11.0, e: 0.92
episode: 54/10000, score: -9.0, e: 0.92
episode: 55/10000, score: -12.0, e: 0.92
episode: 56/10000, score: -5.0, e: 0.91
episode: 57/10000, score: -6.0, e: 0.91
episode: 58/10000, score: -7.0, e: 0.91
episode: 59/10000, score: -2.0, e: 0.91
episode: 60/10000, score: -8.0, e: 0.91
episode: 61/10000, score: -5.0, e: 0.91
episode: 62/10000, score: -11.0, e: 0.9
episode: 63/10000, score: -5.0, e: 0.9
episode: 64/10000, score: 0.0, e: 0.9
episode: 65/10000, score: -13.0, e: 0.9
episode: 66/10000, score: -10.0, e: 0.9
episode: 67/10000, score: -10.0, e: 0.9
episode: 68/10000, score: -7.0, e: 0.89
episode: 69/10000, score: -5.0, e: 0.89
episode: 70/10000, score: -1.0, e: 0.89
episode: 71/10000, score: -9.0, e: 0.89
episode: 72/10000, score: -9.0, e: 0.89
episode: 73/10000, score: -9.0, e: 0.89
episode: 74/10000, score: -6.0, e: 0.89
episode: 75/10000, score: -9.0, e: 0.89
episode: 76/10000, score: -5.0, e: 0.88
episode: 77/10000, score: -9.0, e: 0.88
episode: 78/10000, score: -11.0, e: 0.88
episode: 79/10000, score: -3.0, e: 0.88
episode: 80/10000, score: -5.0, e: 0.88
episode: 81/10000, score: -10.0, e: 0.88
episode: 82/10000, score: 1.0, e: 0.87
episode: 83/10000, score: -6.0, e: 0.87
episode: 84/10000, score: -8.0, e: 0.87
episode: 85/10000, score: -8.0, e: 0.87
episode: 86/10000, score: -9.0, e: 0.87
episode: 87/10000, score: -5.0, e: 0.87
episode: 88/10000, score: -7.0, e: 0.86
episode: 89/10000, score: -2.0, e: 0.86
episode: 90/10000, score: -2.0, e: 0.86
episode: 91/10000, score: -5.0, e: 0.86
episode: 92/10000, score: -4.0, e: 0.86
episode: 93/10000, score: 0.0, e: 0.86
episode: 94/10000, score: -9.0, e: 0.86
episode: 95/10000, score: -5.0, e: 0.86
episode: 96/10000, score: 2.0, e: 0.85
episode: 97/10000, score: -9.0, e: 0.85
episode: 98/10000, score: -9.0, e: 0.85
episode: 99/10000, score: -12.0, e: 0.85
episode: 100/10000, score: 0.0, e: 0.85
episode: 101/10000, score: -7.0, e: 0.85
episode: 102/10000, score: -6.0, e: 0.84
episode: 103/10000, score: -7.0, e: 0.84
episode: 104/10000, score: -7.0, e: 0.84
episode: 105/10000, score: -1.0, e: 0.84
episode: 106/10000, score: -9.0, e: 0.84
episode: 107/10000, score: -10.0, e: 0.84
episode: 108/10000, score: -4.0, e: 0.83
episode: 109/10000, score: -10.0, e: 0.83
episode: 110/10000, score: -5.0, e: 0.83
episode: 111/10000, score: -8.0, e: 0.83
episode: 112/10000, score: -9.0, e: 0.83
episode: 113/10000, score: -9.0, e: 0.83
episode: 114/10000, score: -7.0, e: 0.83
episode: 115/10000, score: -8.0, e: 0.83
episode: 116/10000, score: -9.0, e: 0.82
episode: 117/10000, score: -6.0, e: 0.82
episode: 118/10000, score: 3.0, e: 0.82
episode: 119/10000, score: -8.0, e: 0.82
episode: 120/10000, score: -6.0, e: 0.82
episode: 121/10000, score: -8.0, e: 0.82
episode: 122/10000, score: -11.0, e: 0.81
episode: 123/10000, score: -6.0, e: 0.81
episode: 124/10000, score: -2.0, e: 0.81
